,Number of Lanes,Number of Vehicles,Vehicles Density,Reward Speed Range,Scaling Factor,Algorithm,Average Reward,Reward Standard Deviation,Observation Variance,Action Variance,Number of Transitions Observed,Crash Rate,Average Collision Reward,Average Right Lane Reward,Average High Speed Reward,Average On Road Reward,Average Episode Length,Reward Sparsity,Transition Rewards Variance,Observation Type,Maximum Range (Lidar),Horizon (TimeToCollision),Initial Lane Id,Ego Spacing
13,8,40,2.5,1,5.5,0,0.6810025062656643,0.1419855927003403,6.604188399686484,0.0201599085344669,1710,0.0450292397660818,0.0450292397660818,0.6653299916457811,0.0,1.0,53,0.995906432748538,0.0201599085344669,0,0,0,3,2.5
14,6,25,1.5,4,5.5,2,0.7064392547887695,0.0534049787222946,0.5540275450673903,0.0028520917523287,3811,0.0052479664130149,0.0052479664130149,0.6490684859616899,0.0,1.0,45,0.9973760167934924,0.0028520917523287,0,0,0,3,2.0
15,8,40,2.0,1,5.5,0,0.6946503221750747,0.0905989314608261,1.2003625657808166,0.0082081663818434,3030,0.0181518151815181,0.0181518151815181,0.6012729844413012,0.0,1.0,53,0.999009900990099,0.0082081663818434,0,0,0,3,1.0
16,5,30,2.0,1,5.5,1,0.6935430188051258,0.0747960309213148,1.194106673823439,0.0055944462415822,4006,0.010733899151273,0.010733899151273,0.5104842735896156,0.0,1.0,60,0.9962556165751372,0.0055944462415822,0,0,0,3,2.0
17,4,25,1.5,2,5.5,1,0.7048593494560009,0.0531012244112168,3.650502338807634,0.0028197400339704,3942,0.0050735667174023,0.0050735667174023,0.6236259090140368,0.0,1.0,45,0.99974632166413,0.0028197400339704,0,0,0,3,1.0
18,4,35,3.0,2,5.5,0,0.553806146572104,0.2743773621966387,10.871817433165017,0.0752829368859854,470,0.2106382978723404,0.2106382978723404,0.4134751773049645,0.0,1.0,60,0.9106382978723404,0.0752829368859854,0,0,0,3,0.5
19,4,35,2.0,2,5.5,0,0.6596432785064891,0.153323346546345,4.042208882695264,0.0235080485961706,1601,0.0549656464709556,0.0549656464709556,0.4443056423068914,0.0,1.0,45,0.985633978763273,0.0235080485961706,0,0,0,3,0.5
20,7,25,2.5,3,5.5,2,0.6807877315807022,0.102138370221581,1.6468959397227951,0.0104322466715207,2333,0.0231461637376768,0.0231461637376768,0.4432776110872981,0.0,1.0,45,0.9969995713673382,0.0104322466715207,0,0,0,3,0.5
21,4,50,1.0,0,5.5,1,0.802810699541616,0.1289960638711,16.578497128201292,0.0166399844942369,3452,0.0101390498261877,0.0101390498261877,0.4730590961761298,0.4176229738024967,1.0,40,0.9979721900347625,0.0166399844942369,0,0,0,3,2.0
22,4,50,1.0,0,5.5,2,0.7505287571998956,0.0887916895795121,10.67643810219523,0.0078839641383844,3799,0.0023690444853908,0.0023690444853908,0.5091690795823463,0.1931131808174992,1.0,40,0.9994735456699132,0.0078839641383844,0,0,0,0,2.0
23,4,50,1.0,0,5.5,2,0.7586524579565744,0.0772867698273359,7.61242634156485,0.0059732447903436,3958,0.0007579585649317,0.0007579585649317,0.7214081185784066,0.1664895841048817,1.0,40,0.9997473471450228,0.0059732447903436,0,0,0,1,2.0
