instances,feature_S3,feature_EDS,feature_EZR,feature_POT,feature_L1,feature_C4,feature_TD_P,algo_ada_boost,algo_bagging,algo_bayesian_ard,algo_decision_tree,algo_extra_tree,algo_gradient_boosting,algo_kernel_ridge,algo_mlp,algo_passive_aggressive,algo_random_forest,algo_sgd,algo_svr_epsilon,algo_svr_linear,algo_svr_nu
21,0.11016002939012426,0.952623130010961,0.5067064268086556,0,0.0831621847968268,1.0,0.6666666666666666,0.02937573060902336,0.02860454342231598,0.015102922726764693,0.034387533626760246,0.02460539544458488,0.05684975273007271,1.0589465354083583,0.006432999000287873,0.10392023547518665,0.03021163222246851,0.12234180306507508,0.014024727482047868,0.00831184093233309,0.038002171932405654
22,0.22391661703404164,0.9104694802607807,0.3277527121816398,0,0.3744301441954637,1.0,1.0,0.053381678681713694,0.04068564428024344,0.06362453645112195,0.024266712080866386,0.04149551987541808,0.04179614557024751,1.0301886623129948,0.04568708366897308,0.014486283918131006,0.04393630214052342,0.16431790842838248,0.07362691139935783,0.02292221492831085,0.03482252391919375
23,0.0015798415444211455,0.019306840160613903,0.0,0,0.03641819146045033,0.2222222222222222,0.8333333333333334,0.016299284964361362,0.008214840911629608,0.020804691731975182,0.023348999122198545,0.013952169062176294,0.011452422771897763,1.0394927732675903,0.017229727615586454,0.21127421552201894,0.010483571298566419,0.12389442532315967,0.015973499320868105,0.011310242027775584,0.015693209741877982
24,0.03730207334969726,0.12111633593041671,0.009542356703941324,0,0.0870509845598636,1.0,0.8333333333333334,0.003789948320043034,0.007691605382586447,0.0028624536279925595,0.005626459155095239,0.014225269389365441,0.00818372422090389,0.993995030415469,0.009096649212586806,0.05435239119849338,0.009976404713722728,0.1292149356401098,0.035604435577202186,0.013419209045994017,0.009530656774589422
25,0.012973706607593338,0.05924681298043155,0.0022935681747691117,0,0.05350997867824048,1.0,0.8333333333333334,0.00894846566678216,0.004054965910766129,0.007543090780014287,0.008701626603789132,0.004796601221737639,0.0059508326688227624,0.980906318200797,0.004729643347949115,0.0829574731060279,0.0021659431470967133,0.1143325994878589,0.019738780597856432,0.0114789361453365,0.013675416905069536
26,0.001649298567982238,0.2869452313147791,0.03805724383519449,0,0.10850648398192697,1.0,0.8333333333333334,0.00987473081447178,0.0007496531632962004,0.008592625609224797,0.009953444915673043,0.000411770609579232,0.01706436186066273,0.9856500067231724,0.006206304811437117,0.0459903964250522,0.001998861433227074,0.11388626079802132,0.022943444278069648,0.007153910068725469,0.0037050434335361665
27,1.9819400009724042e-05,0.1374947627293449,0.011851790471211876,0,0.2403603360923341,1.0,0.8333333333333334,0.002465731503050395,0.007571485111973435,0.037841517146032295,0.009884240515579895,0.00588095848630684,0.01808520183948838,0.961472801429702,0.02346138710400027,0.07338199055379653,0.004962577091212434,0.11057442995524809,0.0030575379812278493,0.01546449124704744,0.03477193894759905
28,0.28947566094688293,0.7439122903416051,0.28771206377218195,0,0.3254445019454767,1.0,0.6666666666666666,0.08114997121980524,0.08904287217537231,0.04479324441866315,0.07842148555866268,0.07266101832874422,0.08302749258526182,0.9513578114463976,0.044691360642133686,0.08168475526829772,0.09252856744243493,0.07001136765312045,0.03221085972526205,0.0415330539031841,0.04491421529947849
29,0.00021468056219231535,0.05226667355896142,0.0016826419821519556,0,0.13441166904080704,1.0,0.8333333333333334,0.007023850215292614,0.011417013153009492,0.018283532190995735,0.008179951680796438,0.012981309240708403,0.00430409779013966,0.9771816846956545,0.016342887460035253,0.043739987036201675,0.010776247502876667,0.10452324923702047,0.013015523602891986,0.01565062019588183,0.016822500932511718
30,0.6587262082856937,0.0016398851782273294,0.8419507438835299,0,0.14302551959144616,1.0,0.5,0.03783158840175821,0.02732704553707403,0.014480018009274254,0.03783158840175821,0.004210374252334735,0.023483180031758557,1.0365666834069938,0.016213747293769412,0.18796997778754881,0.035476465734209026,0.08647417653074012,0.03894161792411682,0.014038475870249464,0.008361956913655289
31,0.60614343877694,0.36648759775521633,0.6602732830647244,0,0.3475391926992947,1.0,0.6666666666666666,0.022790552094157847,0.07300116940788917,0.05014929500357669,0.1301883022380793,0.09278768374306223,0.0690163660875078,0.9462306695749768,0.04955505164648286,0.07181635907934414,0.07423406715263069,0.0595783474767534,0.06106791537716814,0.04670023937947679,0.05666982763090193
32,0.0020582945459034496,0.37834827630649925,0.05829812645792787,0,0.06762775455787129,1.0,0.8333333333333334,0.011760432413860501,0.005746789325545231,0.004573939495736141,0.007784557788672979,0.0015780256569161125,0.017594354002455796,1.0575547467353612,0.007786090975263616,0.046630928327515316,0.005696224079595538,0.13070659917295044,0.03633431844104102,0.006766330722276853,0.007599054717795007
