,Duration,Number of Lanes,Number of Vehicles,Vehicles Density,Reward Speed Range,Scaling Factor,Algorithm,Average Reward,Reward Standard Deviation,Observation Variance,Action Variance,Number of Transitions Observed,Crash Rate,Average Collision Reward,Average Right Lane Reward,Average High Speed Reward,Average On Road Reward,Average Episode Length,Reward Sparsity,Transition Rewards Variance,Observation Type,Maximum Range (Lidar),Horizon (TimeToCollision),Initial Lane Id,Ego Spacing
10,60,7,25,1.5,"[50, 60]",5.5,A2C,0.7252998154981551,0.059442960559259496,0.7490415772585192,0.00353346556004968,4336,0.00761070110701107,0.00761070110701107,0.9556042435424354,0.0,1.0,60,1.0,0.00353346556004968,Kinematics,,,,0.5
11,60,5,30,3.0,"[50, 60]",5.5,DQN,0.6806939648084198,0.1292290345889847,3.63451677957936,0.016700143380801002,2027,0.0370004933399112,0.0370004933399112,0.580414405525407,0.0,1.0,60,0.9960532807104094,0.016700143380801002,Kinematics,,,,0.5
12,45,8,40,1.5,"[30, 40]",5.5,DQN,0.7124125618286651,0.0718921564978379,2.5864369213194656,0.0051684821659096145,3254,0.0107559926244622,0.0107559926244622,0.7937483536745984,0.0,1.0,45,0.9993853718500307,0.0051684821659096145,Kinematics,,,,2.5
13,53,8,40,2.5,"[30, 40]",5.5,A2C,0.6810025062656643,0.1419855927003403,6.604188399686484,0.020159908534466933,1710,0.04502923976608187,0.04502923976608187,0.6653299916457811,0.0,1.0,53,0.995906432748538,0.020159908534466933,Kinematics,,,,2.5
14,45,6,25,1.5,"[60, 70]",5.5,PPO,0.7064392547887695,0.0534049787222946,0.5540275450673903,0.002852091752328739,3811,0.005247966413014957,0.005247966413014957,0.6490684859616899,0.0,1.0,45,0.9973760167934925,0.002852091752328739,Kinematics,,,,2.0
15,53,8,40,2.0,"[30, 40]",5.5,A2C,0.6946503221750747,0.09059893146082611,1.2003625657808166,0.008208166381843468,3030,0.018151815181518153,0.018151815181518153,0.6012729844413012,0.0,1.0,53,0.999009900990099,0.008208166381843468,Kinematics,,,,1.0
16,60,5,30,2.0,"[30, 40]",5.5,DQN,0.6935430188051258,0.07479603092131482,1.194106673823439,0.005594446241582282,4006,0.010733899151273091,0.010733899151273091,0.5104842735896156,0.0,1.0,60,0.9962556165751373,0.005594446241582282,Kinematics,,,,2.0
17,45,4,25,1.5,"[40, 50]",5.5,DQN,0.7048593494560009,0.05310122441121687,3.650502338807634,0.002819740033970414,3942,0.0050735667174023336,0.0050735667174023336,0.6236259090140368,0.0,1.0,45,0.9997463216641299,0.002819740033970414,Kinematics,,,,1.0
18,60,4,35,3.0,"[40, 50]",5.5,A2C,0.553806146572104,0.2743773621966387,10.871817433165015,0.07528293688598547,470,0.21063829787234042,0.21063829787234042,0.4134751773049645,0.0,1.0,60,0.9106382978723404,0.07528293688598547,Kinematics,,,,0.5
19,45,4,35,2.0,"[40, 50]",5.5,A2C,0.6596432785064891,0.153323346546345,4.042208882695264,0.023508048596170603,1601,0.05496564647095565,0.05496564647095565,0.44430564230689146,0.0,1.0,45,0.985633978763273,0.023508048596170603,Kinematics,,,,0.5
